CODIGO,valor,grupo_vigente,patron,recomendacion,propuesta,razon
01-15-8958-46,"66593584, 53062816",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-15-9074-46,66596063-66357276,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-15-9157-46,66355887-66312603,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
01-17-0289-46,40,numerico_longitud_incorrecta,numerico_longitud_2,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
01-17-0296-46,5180422,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
02-01-0038-46,7945177,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
02-03-0136-46,4215928,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
02-03-0283-46,54937809-53096866,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
02-05-0018-46,3033,numerico_longitud_incorrecta,numerico_longitud_4,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
02-07-0754-46,79252112-79253509,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
03-01-1077-46,78322410-78323310,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
03-01-1100-46,78326590-40441097,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
03-01-1304-46,78325262-78321201,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
03-01-1344-46,52660000-78323083,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
03-01-1376-46,"78320432, 78327352",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
03-02-0002-46,59396687-50381119,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
03-02-0004-46,59396687-50381119,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
03-02-0071-46,5460084,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
03-02-1423-46,78887460-55022177,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
03-02-1424-46,78887460-55022177,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
03-14-0034-46,43521,numerico_longitud_incorrecta,numerico_longitud_5,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
04-01-0061-46,78391288-78392217,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
04-01-0128-46,783928,numerico_longitud_incorrecta,numerico_longitud_6,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
04-01-0139-46,79649696-78739432,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
04-01-0141-46,78739432-79649696,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
04-01-0142-46,78739432-79649696,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
04-01-0347-46,78739432-79649696,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
04-01-0635-46,78393245-78393246,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
04-01-2552-46,78393245-78393246,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
04-01-2715-46,78391332-78395850-78395997,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
04-01-2994-46,78392709-78396701-78396702,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
04-01-3069-46,8392658,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
04-01-3071-46,8392658,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
04-06-3149-46,77238200/58540260,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
04-15-3250-46,78392156-59881439,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
05-01-0153-46,41349750-54182377,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
05-01-0666-46,78880429-78880419,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
05-01-2568-46,78895329-78895332,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
05-01-3023-46,78881148-78891068,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
05-01-3024-46,78881148-78891068,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
05-02-0223-46,7776400,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
05-03-2983-46,78803107-78803096,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
05-12-2329-46,52187388-47698840,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
06-08-2001-46,78850105-53334877,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
07-10-2756-46,77621113-77621019,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
08-01-0232-46,56769964-77663283,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
08-01-0233-46,56769964-7766328,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
08-02-0042-46,41724130-00000000,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
08-02-0065-46,7737457945436421,numerico_longitud_incorrecta,posible_concatenacion_de_dos_telefonos,conservar_y_documentar,77374579 | 45436421 (solo referencia),"Admite una partición 8+8, pero el original no contiene separador y no debe alterarse."
08-02-0099-46,41724130-00000000,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
09-01-3623-46,7631022-7615248,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
09-01-3817-46,7674631-7635139,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
09-01-3870-46,77635371-31281299,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
09-06-3693-46,"7618119, 7619218",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
10-01-0328-46,7872316,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
10-01-0329-46,515916,numerico_longitud_incorrecta,numerico_longitud_6,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
10-01-0342-46,4140069,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
10-01-1955-46,87215508-0755,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
10-10-0077-46,787203,numerico_longitud_incorrecta,numerico_longitud_6,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
10-12-0015-46,3430826,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
10-14-0071-46,78719889-42781085-42400974,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
10-15-0041-46,5899378,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
10-21-0092-46,7927234,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
12-02-0121-46,77609431-53012737,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
12-04-0246-46,5783593,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
12-04-0252-46,5783593,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
12-29-0045-46,574479,numerico_longitud_incorrecta,numerico_longitud_6,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
13-01-0159-46,77648506-45419234-41177068,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
13-01-0162-46,77648506-45419234-41177068,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
13-01-0163-46,77648506-45419234-41177068,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
13-01-5756-46,57 47546,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
13-07-0433-46,77632533-77632581,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
13-27-1511-46,77660002-53495743,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
13-27-6427-46,7660201-7660149,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
15-01-0111-46,79540830-79540909,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
15-01-0112-46,79540830-79540909,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
15-01-0114-46,79540830-79540909,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
16-07-0253-46,4085613,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
16-10-0001-46,78208583-78209143,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
17-03-0084-46,586577,numerico_longitud_incorrecta,numerico_longitud_6,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
17-03-0085-46,586577,numerico_longitud_incorrecta,numerico_longitud_6,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
17-03-0121-46,4167076,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
17-03-0146-46,3127247,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
17-04-3953-46,31193946-46843572,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
17-09-3970-46,66502390 65864538,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
17-13-0161-46,5732448,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
18-01-0162-46,79484391-41051885,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-01-0305-46,79486433-79480166,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-01-0306-46,79486433-79480166,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-01-0307-46,79486433-79480166,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-01-0308-46,79486433-79480166,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-01-0343-46,79480085-50307050,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-01-0344-46,79480085-50307050,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-01-0365-46,79524680-59864686,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-01-2828-46,52936124-79481614,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-02-0389-46,5388633,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
18-03-2749-46,56253613-78209540,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-04-0016-46,31089418-53230377,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-04-0177-46,57362216-79476691,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-04-0198-46,79480009-2018,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-04-0246-46,53660792-55969273,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-04-0380-46,53660792-55969273,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
18-04-0415-46,79479407-77566525,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
20-01-0028-46,66206263-79420025,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
20-01-2349-46,59352245-79438029,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
20-01-2352-46,59352245-79438029,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
21-01-0108-46,79224958-79223033,no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
21-07-0133-46,5466347,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
22-01-0353-46,7846520,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
22-01-0420-46,7844007,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
22-01-0421-46,7844007,numerico_longitud_incorrecta,numerico_longitud_7,requiere_fuente_institucional,Sin transformación automática,La longitud no permite inferir de forma inequívoca un teléfono válido de 8 dígitos.
22-01-2133-46,"8441160, 8441331",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
22-01-2134-46,"8441160, 8441331",no_numerico,formato_no_numerico_con_estructura,conservar_y_documentar,Conservar íntegro; interpretar con fuente institucional,"Separadores o texto pueden preservar múltiples contactos, extensiones o estructura histórica útil."
